2.11,76.97
32.88,20.18
18.39,55.23
16.34,69.41
6.53,54.09
13.24,75.82
30.99,52.92
19.03,13.59
32.79,22.04
16.37,72.14
17.68,44.43
25.85,1.15
19.35,47.49
3.69,79.95
10.42,63.89
26.54,21.89
30.6,17.79
27.79,55.16
8.62,73.67
30.91,77.06
13.32,20.92
2.48,25.19
23.38,63.41
16.02,50.76
10.31,75.41
32.15,14.23
19.58,32.29
25.76,49.48
10.48,27.69
10.12,9.7
11.76,68.38
0.12,53.35
17.88,76.1
36.72,37.54
50.43,77.24
35.49,13.56
62.03,73.2
53.26,55.36
63.09,68.88
59.88,61.5
47.48,55.1
38.45,59.27
50.93,77.63
43.7,24.02
58.44,13.38
52.24,34.3
55.49,4.6
48.12,11.15
41.34,61.07
33.47,77.56
54.44,37.89
52.19,61.82
54.39,6.24
54.68,45.43
41.87,14.61
52.48,35.89
55.3,20.47
46.28,78.41
60.49,23.98
51.61,59.76
56.19,36.95
41.85,33.28
40.18,3.76
54.7,42.41
51.84,3.52
39.03,41.09
89.36,29.97
87.11,73.4
91.79,49.66
95.92,11.52
91.63,33.49
85.13,50.18
94.39,52.15
76.17,10.04
77.08,44.71
78.81,78.25
70.52,0.15
69.23,30.52
79.58,39.47
75.24,70.31
69.75,61.69
67.18,20.82
74.69,79.9
91.63,75.45
78.77,56.54
87.12,26.54
82.49,29.87
84.97,20.64
88.73,26.68
73.01,48.24
81.87,36.48
93.51,71.66
79.62,70.21
97.89,23.85
97.0,67.4
71.89,54.8
73.12,40.72
83.88,45.29
84.29,39.02
