55.1,35.66
105.37,61.78
22.48,11.6

----
5.86,57.05
29.89,49.05
29.91,43.99
14.07,69.78
18.71,59.06
32.82,61.12
2.6,33.55
14.82,79.31
29.37,62.27
30.47,18.77
13.0,10.38
9.22,71.32
9.42,10.4
5.35,36.05
30.61,65.36
30.62,39.48
28.48,32.13
23.8,63.68
22.17,13.2
6.73,1.19
17.59,49.49
18.96,37.56
24.63,52.02
30.12,35.58
24.31,32.05
27.75,40.73
31.16,63.81
1.7,51.28
31.12,36.3
20.33,10.57
10.87,53.65
20.17,64.56
7.18,30.7
54.21,43.53
74.38,67.7
67.91,24.43
60.4,64.28
72.75,65.29
68.6,37.09
81.83,47.35
64.96,36.25
74.0,5.84
58.42,6.64
58.7,5.81
57.78,24.48
55.11,18.64
58.53,67.78
60.36,71.45
57.81,74.7
73.69,17.67
73.54,8.96
65.79,28.95
55.15,64.93
85.27,7.68
62.87,16.7
63.79,40.26
57.61,22.11
53.6,21.42
61.65,19.09
76.11,50.24
85.27,17.15
61.08,57.05
59.16,71.85
70.54,65.0
81.03,11.89
68.7,48.81
110.44,71.18
118.76,12.66
118.15,35.05
118.55,49.08
131.33,42.41
136.93,16.59
138.03,2.07
138.73,47.73
129.48,13.9
133.39,8.84
116.51,79.04
109.81,7.85
129.49,38.87
126.39,78.94
116.34,57.67
109.95,35.44
113.84,19.97
112.85,7.73
122.12,65.47
126.6,18.27
108.13,3.04
122.65,71.43
118.45,53.12
137.48,12.62
107.92,67.28
106.07,34.52
125.19,40.52
119.43,66.41
129.26,8.74
136.44,19.32
132.89,75.86
112.14,30.22
110.31,51.54
